Category	Data
Time 	210
Number of contact points 	8
Number of motion primitives performed 	45
Estimated corners 	[[np.float64(0.8599376464183837), np.float64(0.18194648422569465), np.float64(0.03190858657101897)], [np.float64(0.6136289216831697), np.float64(0.22668139222617034), np.float64(-0.1642998800411684)], [np.float64(0.9128200897306616), np.float64(-0.38609733404033897), np.float64(0.04061532749568886)], [np.float64(0.6001966627946689), np.float64(-0.3560545345182099), np.float64(-0.21001914737698696)]]
Estimated pose 	[[np.float64(0.7466458301567209), np.float64(-0.08338099802667097), np.float64(-0.07544877833786189)], [np.float64(0.045383179659232775), np.float64(-0.3306772766265773), np.float64(-0.05879549634936397), np.float64(0.9408166640402797)]]
Ground truth pose 	[[0.7398573472584863, -0.1020235027462259, -0.11194770873624216], [-0.040096844978380335, -0.39407596374314247, -0.030010176766752227, 0.9177122463567333]]
Ground truth corners 	[[np.float64(0.596959003330514), np.float64(-0.39652705080602085), np.float64(-0.22033462438031323)], [np.float64(0.8307453997119465), np.float64(-0.40450991346228055), np.float64(0.02640449852238952)], [np.float64(0.8827556911864586), np.float64(0.19248004531356905), np.float64(-0.003560793092171083)], [np.float64(0.6489692948050261), np.float64(0.20046290796982874), np.float64(-0.25029991599487383)]]
Translational error 	0.041542729839336
Rotational error 	0.225406977863979
Chamfer distance 	0.0668182832583187
Hausdorff distance 	0.0966041255492263
